name	version	path	bytes	md5	package_url	remote_manifest_url
ElfArcher	0.0.1	assets/res/raw-assets/a7/a7334bc8-69f6-42f9-bbf9-7cacb720d31e.manifest	202	bc96a192fafb4e8574d272bd105fae09	http://ifs.yonorummy.in/GameX/1.6.8.7/ElfArcher	http://ifs.yonorummy.in/GameX/ElfArcher/project.manifest
EmojiRiches	0.0.1	assets/res/raw-assets/c1/c134e293-8daa-4afe-9753-c79dc3f71e3a.manifest	210	d1c67eae110dd1bebdbd1ed6846d07da	http://ifs.yonorummy.in/GameX/1.6.8.7/EmojiRiches	http://ifs.yonorummy.in/GameX/EmojiRiches/project.manifest
EvilEyes	0.0.1	assets/res/raw-assets/71/7182c53e-6100-4a01-9e8b-24d1c3450d6f.manifest	198	4076f73a61244e1c01ef5325ef223558	http://ifs.yonorummy.in/GameX/1.6.8.7/EvilEyes	http://ifs.yonorummy.in/GameX/EvilEyes/project.manifest
FireToad	0.0.1	assets/res/raw-assets/8b/8bd89559-6a3d-4213-9983-e76d00644521.manifest	198	714605c52c1326104f6c798abc264711	http://ifs.yonorummy.in/GameX/1.6.8.7/FireToad	http://ifs.yonorummy.in/GameX/FireToad/project.manifest
FireyFortune	0.0.1	assets/res/raw-assets/a4/a4e22a9b-5f64-4385-a4b1-ad4d7c01c560.manifest	214	cff9b9f8ea287a387bf73a712520690d	http://ifs.yonorummy.in/GameX/1.6.8.7/FireyFortune	http://ifs.yonorummy.in/GameX/FireyFortune/project.manifest
FishCommon	0.0.1	assets/res/raw-assets/b9/b951a1ed-f34d-403a-91f0-7b166da12a68.manifest	214	2d8dc1f06b8016ae6f614389c885355d	http://ifs.yonorummy.in/GameX/1.6.8.7/FishCommon	http://ifs.yonorummy.in/GameX/FishCommon/project.manifest
FishMaster	0.0.1	assets/res/raw-assets/ec/ec097336-7c17-4fe1-a370-15f5c49a7aaa.manifest	206	ab8f3a0a816f6c008748ec0fb57e103c	http://ifs.yonorummy.in/GameX/1.6.8.7/FishMaster	http://ifs.yonorummy.in/GameX/FishMaster/project.manifest
Fishman	0.0.1	assets/res/raw-assets/9f/9f6b9128-6e8b-46f5-929e-1b79101bc844.manifest	194	986ab4de445826bd681e7aedb9b65127	http://ifs.yonorummy.in/GameX/1.6.8.7/Fishman	http://ifs.yonorummy.in/GameX/Fishman/project.manifest
FlamingMustang	0.0.1	assets/res/raw-assets/41/41204fcd-4c6d-4360-bb3b-680ef82eb190.manifest	222	ebabde7108ddcfb3b5ddbbe5367de1c4	http://ifs.yonorummy.in/GameX/1.6.8.7/FlamingMustang	http://ifs.yonorummy.in/GameX/FlamingMustang/project.manifest
Forever777	0.0.1	assets/res/raw-assets/96/96b24541-d844-41dc-8e72-45a69adcbf06.manifest	206	0f8e4eb834795580c3586f67efa2ca56	http://ifs.yonorummy.in/GameX/1.6.8.7/Forever777	http://ifs.yonorummy.in/GameX/Forever777/project.manifest
FortunateJaguar	0.0.1	assets/res/raw-assets/58/580ed5da-d1f0-4e38-be9c-27786939c46a.manifest	226	1068ca3620390d6a4f464833f5f70d9b	http://ifs.yonorummy.in/GameX/1.6.8.7/FortunateJaguar	http://ifs.yonorummy.in/GameX/FortunateJaguar/project.manifest
FortuneCoins	0.0.1	assets/res/raw-assets/09/09ae25cf-d258-41cf-b79a-4aced891c40c.manifest	214	772b7aa840f85fa18379c67097765c22	http://ifs.yonorummy.in/GameX/1.6.8.7/FortuneCoins	http://ifs.yonorummy.in/GameX/FortuneCoins/project.manifest
FortuneGem500	0.0.1	assets/res/raw-assets/09/091d1f5c-6c37-4315-a4ab-64b94398d10c.manifest	218	e5fefb900198038b4226792c6d826ca9	http://ifs.yonorummy.in/GameX/1.6.8.7/FortuneGem500	http://ifs.yonorummy.in/GameX/FortuneGem500/project.manifest
FortuneGems500	0.0.1	assets/res/raw-assets/f4/f4f74228-c4df-4f97-b547-55618b1d0719.manifest	222	26301324f2a4fa45ad13ac9356ebe681	http://ifs.yonorummy.in/GameX/1.6.8.7/FortuneGems500	http://ifs.yonorummy.in/GameX/FortuneGems500/project.manifest
FortuneJungle	0.0.1	assets/res/raw-assets/18/18a2b13e-6efe-4331-9180-03c912d528a5.manifest	218	466864538316d6b1fa6d1869d49bef27	http://ifs.yonorummy.in/GameX/1.6.8.7/FortuneJungle	http://ifs.yonorummy.in/GameX/FortuneJungle/project.manifest
FortuneLakshmi	0.0.1	assets/res/raw-assets/df/dfda441b-35d8-4799-8f65-74da8de1b091.manifest	222	dff5a1cd6529d1c90ef08c454b33af3f	http://ifs.yonorummy.in/GameX/1.6.8.7/FortuneLakshmi	http://ifs.yonorummy.in/GameX/FortuneLakshmi/project.manifest
FortuneWheel777	0.0.1	assets/res/raw-assets/2c/2cd315e4-ec84-471c-96f5-b4b9aa100a0d.manifest	226	dcfec7191df7b6fd401ff4653d98e8c8	http://ifs.yonorummy.in/GameX/1.6.8.7/FortuneWheel777	http://ifs.yonorummy.in/GameX/FortuneWheel777/project.manifest
Fortunewheel	0.0.1	assets/res/raw-assets/52/5212d6d7-5d01-462a-b7dc-b304e2da0c22.manifest	214	a3c4426fc85bb22b08f4b3370b9592c4	http://ifs.yonorummy.in/GameX/1.6.8.7/Fortunewheel	http://ifs.yonorummy.in/GameX/Fortunewheel/project.manifest
FreakShow	0.0.1	assets/res/raw-assets/d2/d2ddaf46-0eb2-4225-99db-675190840717.manifest	202	1d770f5c9b74a2f9ae85f4f84824f0d6	http://ifs.yonorummy.in/GameX/1.6.8.7/FreakShow	http://ifs.yonorummy.in/GameX/FreakShow/project.manifest
FreeCash	0.0.1	assets/res/raw-assets/29/29de62c1-b561-4fdf-ac9a-d5a4d1a6a002.manifest	205	44fd9a0c2c90daad06dc272f351ee0e5	http://ifs.yonorummy.in/GameX/1.6.8.7/FreeCash	http://ifs.yonorummy.in/GameX/FreeCash/project.manifest
Fruits	0.0.1	assets/res/raw-assets/bf/bf33b481-3440-42a8-97f6-db195660135b.manifest	190	6b0886d26552c282c7114dbcc81f56fb	http://ifs.yonorummy.in/GameX/1.6.8.7/Fruits	http://ifs.yonorummy.in/GameX/Fruits/project.manifest
