path	name	localized_name	version	package_url	remote_manifest_url
assets/res/raw-assets/4b/4b8a7547-042e-4881-bd0b-7a2f412c8eca.manifest	TableCommon	桌面公共资源	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/TableCommon	http://ifs.yonorummy.in/GameX/TableCommon/project.manifest
assets/res/raw-assets/4c/4cd8d927-6a13-4f72-84d5-af82dbcbcae7.manifest	Poseidon2	Poseidon2	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Poseidon2	http://ifs.yonorummy.in/GameX/Poseidon2/project.manifest
assets/res/raw-assets/4e/4e953485-1ec5-49b5-b457-6ba4edee19dd.manifest	LionSagaOdyssey	LionSagaOdyssey	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/LionSagaOdyssey	http://ifs.yonorummy.in/GameX/LionSagaOdyssey/project.manifest
assets/res/raw-assets/50/502fcf61-e223-4113-b06a-490aa058b58e.manifest	GaroGem6	GaroGem6	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/GaroGem6	http://ifs.yonorummy.in/GameX/GaroGem6/project.manifest
assets/res/raw-assets/50/50486608-f15e-44d3-92cb-7ac4a4c376a3.manifest	ChickenRoad1	ChickenRoad1	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/ChickenRoad1	http://ifs.yonorummy.in/GameX/ChickenRoad1/project.manifest
assets/res/raw-assets/51/511ae428-52cd-4111-b42e-c35196835c1e.manifest	DragonEvilTreasure	DragonEvilTreasure	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/DragonEvilTreasure	http://ifs.yonorummy.in/GameX/DragonEvilTreasure/project.manifest
assets/res/raw-assets/51/519c422e-6ca2-422b-9482-4847e9b42983.manifest	GaneshaFortune	GaneshaFortune	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/GaneshaFortune	http://ifs.yonorummy.in/GameX/GaneshaFortune/project.manifest
assets/res/raw-assets/52/5212d6d7-5d01-462a-b7dc-b304e2da0c22.manifest	Fortunewheel	Fortunewheel	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Fortunewheel	http://ifs.yonorummy.in/GameX/Fortunewheel/project.manifest
assets/res/raw-assets/54/54e8a3bf-4941-4a10-95e8-425c71a5aa54.manifest	ArcheryMaster	ArcheryMaster	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/ArcheryMaster	http://ifs.yonorummy.in/GameX/ArcheryMaster/project.manifest
assets/res/raw-assets/57/57454a56-f290-4f5f-a1cf-325935bd9e3f.manifest	InfectedZone	InfectedZone	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/InfectedZone	http://ifs.yonorummy.in/GameX/InfectedZone/project.manifest
assets/res/raw-assets/57/57a25e79-72ea-46df-b870-a8c834fb7c7d.manifest	LuckyCasino	LuckyCasino	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/LuckyCasino	http://ifs.yonorummy.in/GameX/LuckyCasino/project.manifest
assets/res/raw-assets/58/580ed5da-d1f0-4e38-be9c-27786939c46a.manifest	FortunateJaguar	FortunateJaguar	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/FortunateJaguar	http://ifs.yonorummy.in/GameX/FortunateJaguar/project.manifest
assets/res/raw-assets/5a/5a26085e-62a9-4f33-8bdf-413ca1bb4e14.manifest	Zeus1	Zeus1	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Zeus1	http://ifs.yonorummy.in/GameX/Zeus1/project.manifest
assets/res/raw-assets/5a/5a5fda75-a532-40c4-9ffc-2f7d26596c84.manifest	GatesOfGatotKaca	GatesOfGatotKaca	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/GatesOfGatotKaca	http://ifs.yonorummy.in/GameX/GatesOfGatotKaca/project.manifest
assets/res/raw-assets/5e/5e3307e2-511c-4d1a-906c-b6faf1170498.manifest	SafariPrincess	游猎公主	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/SafariPrincess	http://ifs.yonorummy.in/GameX/SafariPrincess/project.manifest
assets/res/raw-assets/5e/5eb2e997-11d0-4016-a2f7-40b4d29d3a41.manifest	ScarabLinkCleora	ScarabLinkCleora	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/ScarabLinkCleora	http://ifs.yonorummy.in/GameX/ScarabLinkCleora/project.manifest
assets/res/raw-assets/61/61334a3d-88e8-4dd3-900c-2843d4cd7871.manifest	Crazy7773	Crazy7773	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Crazy7773	http://ifs.yonorummy.in/GameX/Crazy7773/project.manifest
assets/res/raw-assets/62/628d58ad-1770-47c8-b23e-555e1a850e14.manifest	MegaBills2	MegaBills2	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/MegaBills2	http://ifs.yonorummy.in/GameX/MegaBills2/project.manifest
assets/res/raw-assets/63/637c7230-9012-4ec1-89e4-8f4f41082f07.manifest	PhantomMustang	PhantomMustang	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/PhantomMustang	http://ifs.yonorummy.in/GameX/PhantomMustang/project.manifest
assets/res/raw-assets/64/64cf9ed9-01d6-481e-9ef8-49f1277dc4a8.manifest	Darkness	Darkness	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Darkness	http://ifs.yonorummy.in/GameX/Darkness/project.manifest
assets/res/raw-assets/66/66c47899-5e14-42eb-a8a5-a0a311cf1273.manifest	Zeus3	Zeus3	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Zeus3	http://ifs.yonorummy.in/GameX/Zeus3/project.manifest
assets/res/raw-assets/6e/6e959e52-746b-4422-acc4-96196fad05fa.manifest	Mines	Mines	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Mines	http://ifs.yonorummy.in/GameX/Mines/project.manifest
assets/res/raw-assets/6f/6f8b26d3-2773-4551-9baa-4878493d864a.manifest	JurassicKingdom	JurassicKingdom	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/JurassicKingdom	http://ifs.yonorummy.in/GameX/JurassicKingdom/project.manifest
assets/res/raw-assets/6f/6feea0b8-905e-463a-b2fc-d03a708d975f.manifest	MysteryLamp	MysteryLamp	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/MysteryLamp	http://ifs.yonorummy.in/GameX/MysteryLamp/project.manifest
assets/res/raw-assets/70/702efd35-df4e-4505-941c-5a8a5f36946b.manifest	DoubleRoll	DoubleRoll	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/DoubleRoll	http://ifs.yonorummy.in/GameX/DoubleRoll/project.manifest
assets/res/raw-assets/70/70ad8aa6-0d5e-44c0-80f8-7ddfc8f1cc80.manifest	LuckyGems4	LuckyGems4	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/LuckyGems4	http://ifs.yonorummy.in/GameX/LuckyGems4/project.manifest
